date,code,floor,basic_price,ceiling_price,floor_price,close,open,high,low,average,adjust_close,adjust_open,adjust_high,adjust_low,adjust_average,change,adjust_change,percent_change,volume_match,value_match,volume_reconcile,value_reconcile,total_volume,total_value
3/21/24,ENF,OTC,0,0,0,35610.0,0,0,0,0,35610.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/19/24,ENF,OTC,0,0,0,34637.0,0,0,0,0,34637.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14/24,ENF,OTC,0,0,0,35367.0,0,0,0,0,35367.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/12/24,ENF,OTC,0,0,0,34806.0,0,0,0,0,34806.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/8/24,ENF,OTC,0,0,0,35200.0,0,0,0,0,35200.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7/24,ENF,OTC,0,0,0,35200.0,0,0,0,0,35200.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/6/24,ENF,OTC,0,0,0,35413.00000000001,0,0,0,0,35413.00000000001,0,0,0,0,0,0,0,0,0,0,0,0,0
2/29/24,ENF,OTC,0,0,0,35040.0,0,0,0,0,35040.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/28/24,ENF,OTC,0,0,0,34997.0,0,0,0,0,34997.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/27/24,ENF,OTC,0,0,0,34997.0,0,0,0,0,34997.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/22/24,ENF,OTC,0,0,0,34532.0,0,0,0,0,34532.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/20/24,ENF,OTC,0,0,0,34433.0,0,0,0,0,34433.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/16/24,ENF,OTC,0,0,0,34313.0,0,0,0,0,34313.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/6/24,ENF,OTC,0,0,0,34024.0,0,0,0,0,34024.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1/24,ENF,OTC,0,0,0,33195.0,0,0,0,0,33195.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/30/24,ENF,OTC,0,0,0,32965.0,0,0,0,0,32965.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/25/24,ENF,OTC,0,0,0,32555.0,0,0,0,0,32555.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/24/24,ENF,OTC,0,0,0,32683.0,0,0,0,0,32683.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/18/24,ENF,OTC,0,0,0,32454.0,0,0,0,0,32454.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/17/24,ENF,OTC,0,0,0,32260.999999999996,0,0,0,0,32260.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
1/12/24,ENF,OTC,0,0,0,32293.0,0,0,0,0,32293.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/24,ENF,OTC,0,0,0,31570.999999999996,0,0,0,0,31570.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
12/28/23,ENF,OTC,0,0,0,31515.0,0,0,0,0,31515.0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/27/23,ENF,OTC,0,0,0,31438.000000000004,0,0,0,0,31438.000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0
12/22/23,ENF,OTC,0,0,0,31115.0,0,0,0,0,31115.0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/19/23,ENF,OTC,0,0,0,30988.000000000004,0,0,0,0,30988.000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0
12/13/23,ENF,OTC,0,0,0,31384.0,0,0,0,0,31384.0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/12/23,ENF,OTC,0,0,0,31176.0,0,0,0,0,31176.0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/11/23,ENF,OTC,0,0,0,31176.0,0,0,0,0,31176.0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/8/23,ENF,OTC,0,0,0,30546.999999999996,0,0,0,0,30546.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/23,ENF,OTC,0,0,0,31225.0,0,0,0,0,31225.0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/6/23,ENF,OTC,0,0,0,30546.999999999996,0,0,0,0,30546.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
12/5/23,ENF,OTC,0,0,0,31176.0,0,0,0,0,31176.0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/23,ENF,OTC,0,0,0,30456.999999999996,0,0,0,0,30456.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
12/1/23,ENF,OTC,0,0,0,30546.999999999996,0,0,0,0,30546.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
11/30/23,ENF,OTC,0,0,0,30307.0,0,0,0,0,30307.0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/29/23,ENF,OTC,0,0,0,30456.999999999996,0,0,0,0,30456.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
11/28/23,ENF,OTC,0,0,0,30307.0,0,0,0,0,30307.0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/24/23,ENF,OTC,0,0,0,30962.0,0,0,0,0,30962.0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/23/23,ENF,OTC,0,0,0,30307.0,0,0,0,0,30307.0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/22/23,ENF,OTC,0,0,0,30962.0,0,0,0,0,30962.0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/21/23,ENF,OTC,0,0,0,30787.0,0,0,0,0,30787.0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/17/23,ENF,OTC,0,0,0,30962.0,0,0,0,0,30962.0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/16/23,ENF,OTC,0,0,0,30962.0,0,0,0,0,30962.0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/15/23,ENF,OTC,0,0,0,30771.0,0,0,0,0,30771.0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/14/23,ENF,OTC,0,0,0,30595.0,0,0,0,0,30595.0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/13/23,ENF,OTC,0,0,0,29726.999999999996,0,0,0,0,29726.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
11/10/23,ENF,OTC,0,0,0,30595.0,0,0,0,0,30595.0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/9/23,ENF,OTC,0,0,0,29668.000000000004,0,0,0,0,29668.000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0
11/8/23,ENF,OTC,0,0,0,29726.999999999996,0,0,0,0,29726.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
11/7/23,ENF,OTC,0,0,0,29668.000000000004,0,0,0,0,29668.000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0
11/6/23,ENF,OTC,0,0,0,29668.000000000004,0,0,0,0,29668.000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0
11/3/23,ENF,OTC,0,0,0,29668.000000000004,0,0,0,0,29668.000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0
11/2/23,ENF,OTC,0,0,0,29195.999999999996,0,0,0,0,29195.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
11/1/23,ENF,OTC,0,0,0,29195.999999999996,0,0,0,0,29195.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
10/31/23,ENF,OTC,0,0,0,28377.0,0,0,0,0,28377.0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/30/23,ENF,OTC,0,0,0,29195.999999999996,0,0,0,0,29195.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
10/27/23,ENF,OTC,0,0,0,29195.999999999996,0,0,0,0,29195.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
10/26/23,ENF,OTC,0,0,0,29819.000000000004,0,0,0,0,29819.000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0
10/25/23,ENF,OTC,0,0,0,30318.0,0,0,0,0,30318.0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/24/23,ENF,OTC,0,0,0,29819.000000000004,0,0,0,0,29819.000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0
10/23/23,ENF,OTC,0,0,0,29819.000000000004,0,0,0,0,29819.000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0
10/20/23,ENF,OTC,0,0,0,29819.000000000004,0,0,0,0,29819.000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0
10/19/23,ENF,OTC,0,0,0,30413.0,0,0,0,0,30413.0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/18/23,ENF,OTC,0,0,0,30413.0,0,0,0,0,30413.0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/17/23,ENF,OTC,0,0,0,31276.0,0,0,0,0,31276.0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/13/23,ENF,OTC,0,0,0,31276.0,0,0,0,0,31276.0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/12/23,ENF,OTC,0,0,0,30243.000000000004,0,0,0,0,30243.000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0
10/11/23,ENF,OTC,0,0,0,31022.0,0,0,0,0,31022.0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/10/23,ENF,OTC,0,0,0,30243.000000000004,0,0,0,0,30243.000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0
10/9/23,ENF,OTC,0,0,0,30243.000000000004,0,0,0,0,30243.000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0
10/6/23,ENF,OTC,0,0,0,30116.0,0,0,0,0,30116.0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/5/23,ENF,OTC,0,0,0,30243.000000000004,0,0,0,0,30243.000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0
10/4/23,ENF,OTC,0,0,0,30116.0,0,0,0,0,30116.0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/3/23,ENF,OTC,0,0,0,30423.0,0,0,0,0,30423.0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/2/23,ENF,OTC,0,0,0,30423.0,0,0,0,0,30423.0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/29/23,ENF,OTC,0,0,0,30879.0,0,0,0,0,30879.0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/28/23,ENF,OTC,0,0,0,31980.999999999996,0,0,0,0,31980.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
9/27/23,ENF,OTC,0,0,0,30423.0,0,0,0,0,30423.0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/26/23,ENF,OTC,0,0,0,31980.999999999996,0,0,0,0,31980.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
9/25/23,ENF,OTC,0,0,0,32073.999999999996,0,0,0,0,32073.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
9/22/23,ENF,OTC,0,0,0,31980.999999999996,0,0,0,0,31980.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
9/21/23,ENF,OTC,0,0,0,32073.999999999996,0,0,0,0,32073.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
9/20/23,ENF,OTC,0,0,0,32073.999999999996,0,0,0,0,32073.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,ENF,OTC,0,0,0,31878.0,0,0,0,0,31878.0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/18/23,ENF,OTC,0,0,0,31878.0,0,0,0,0,31878.0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/23,ENF,OTC,0,0,0,31878.0,0,0,0,0,31878.0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/14/23,ENF,OTC,0,0,0,31955.0,0,0,0,0,31955.0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/23,ENF,OTC,0,0,0,32073.999999999996,0,0,0,0,32073.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
9/12/23,ENF,OTC,0,0,0,31650.0,0,0,0,0,31650.0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/11/23,ENF,OTC,0,0,0,31650.0,0,0,0,0,31650.0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/8/23,ENF,OTC,0,0,0,31955.0,0,0,0,0,31955.0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/6/23,ENF,OTC,0,0,0,31650.0,0,0,0,0,31650.0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/5/23,ENF,OTC,0,0,0,30912.0,0,0,0,0,30912.0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/4/23,ENF,OTC,0,0,0,30912.0,0,0,0,0,30912.0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/23,ENF,OTC,0,0,0,30912.0,0,0,0,0,30912.0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/31/23,ENF,OTC,0,0,0,30506.0,0,0,0,0,30506.0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/30/23,ENF,OTC,0,0,0,30912.0,0,0,0,0,30912.0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/28/23,ENF,OTC,0,0,0,30154.0,0,0,0,0,30154.0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/25/23,ENF,OTC,0,0,0,30506.0,0,0,0,0,30506.0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/23/23,ENF,OTC,0,0,0,30094.0,0,0,0,0,30094.0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/18/23,ENF,OTC,0,0,0,30836.0,0,0,0,0,30836.0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/16/23,ENF,OTC,0,0,0,30805.999999999996,0,0,0,0,30805.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
8/11/23,ENF,OTC,0,0,0,30406.0,0,0,0,0,30406.0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/9/23,ENF,OTC,0,0,0,30686.999999999996,0,0,0,0,30686.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
8/4/23,ENF,OTC,0,0,0,30258.000000000004,0,0,0,0,30258.000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0
8/2/23,ENF,OTC,0,0,0,30325.0,0,0,0,0,30325.0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/28/23,ENF,OTC,0,0,0,30154.0,0,0,0,0,30154.0,0,0,0,0,0,0,0,0,0,0,0,0,0
